country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,2006,female,5-14 years,61,11508120,0.53,Mexico2006,,"975,387,131,716",9906,Millenials
Mexico,2007,male,75+ years,136,1055853,12.88,Mexico2007,,"1,052,696,282,279",10496,Silent
Mexico,2007,male,25-34 years,943,9530655,9.89,Mexico2007,,"1,052,696,282,279",10496,Generation X
Mexico,2007,male,55-74 years,421,4716115,8.93,Mexico2007,,"1,052,696,282,279",10496,Silent
Mexico,2007,male,35-54 years,1030,11726685,8.78,Mexico2007,,"1,052,696,282,279",10496,Boomers
Mexico,2007,male,15-24 years,910,10761087,8.46,Mexico2007,,"1,052,696,282,279",10496,Millenials
Mexico,2007,female,15-24 years,272,10427676,2.61,Mexico2007,,"1,052,696,282,279",10496,Millenials
Mexico,2007,female,25-34 years,173,9590582,1.8,Mexico2007,,"1,052,696,282,279",10496,Generation X
Mexico,2007,female,35-54 years,202,12451981,1.62,Mexico2007,,"1,052,696,282,279",10496,Boomers
Mexico,2007,female,55-74 years,48,5064820,0.95,Mexico2007,,"1,052,696,282,279",10496,Silent
Mexico,2007,female,75+ years,14,1503866,0.93,Mexico2007,,"1,052,696,282,279",10496,Silent
Mexico,2007,male,5-14 years,83,11918904,0.7,Mexico2007,,"1,052,696,282,279",10496,Generation Z
