country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,1987,female,25-34 years,64,5728000,1.12,Mexico1987,,"140,263,387,027",2064,Boomers
Mexico,1987,female,35-54 years,68,6389000,1.06,Mexico1987,,"140,263,387,027",2064,Silent
Mexico,1987,female,55-74 years,20,2727000,0.73,Mexico1987,,"140,263,387,027",2064,G.I. Generation
Mexico,1987,female,75+ years,4,599100,0.67,Mexico1987,,"140,263,387,027",2064,G.I. Generation
Mexico,1987,male,5-14 years,36,10423000,0.35,Mexico1987,,"140,263,387,027",2064,Generation X
Mexico,1987,female,5-14 years,16,10086000,0.16,Mexico1987,,"140,263,387,027",2064,Generation X
Mexico,1988,male,75+ years,60,467000,12.85,Mexico1988,,"183,144,164,357",2630,G.I. Generation
Mexico,1988,male,55-74 years,185,2511000,7.37,Mexico1988,,"183,144,164,357",2630,G.I. Generation
Mexico,1988,male,25-34 years,361,5878000,6.14,Mexico1988,,"183,144,164,357",2630,Boomers
Mexico,1988,male,35-54 years,353,6379000,5.53,Mexico1988,,"183,144,164,357",2630,Silent
Mexico,1988,male,15-24 years,418,9021000,4.63,Mexico1988,,"183,144,164,357",2630,Generation X
Mexico,1988,female,15-24 years,118,8850000,1.33,Mexico1988,,"183,144,164,357",2630,Generation X
Mexico,1988,female,75+ years,7,614000,1.14,Mexico1988,,"183,144,164,357",2630,G.I. Generation
Mexico,1988,female,25-34 years,59,5953000,0.99,Mexico1988,,"183,144,164,357",2630,Boomers
Mexico,1988,female,35-54 years,60,6590000,0.91,Mexico1988,,"183,144,164,357",2630,Silent
Mexico,1988,female,55-74 years,21,2844000,0.74,Mexico1988,,"183,144,164,357",2630,G.I. Generation
Mexico,1988,male,5-14 years,46,10438000,0.44,Mexico1988,,"183,144,164,357",2630,Generation X
Mexico,1988,female,5-14 years,15,10101000,0.15,Mexico1988,,"183,144,164,357",2630,Generation X
